"Time","act_mode3","act_mode4","pump_output_control_state","act_mode1","M2 state (+10)"
2023-09-18 10:23:52,16,1,21,1,11
2023-09-18 10:23:53,16,1,21,1,11
2023-09-18 10:23:55,16,1,21,1,11
2023-09-18 10:23:57,16,1,21,1,11
2023-09-18 10:23:58,16,1,21,1,11
2023-09-18 10:24:00,16,1,21,1,11
2023-09-18 10:24:02,16,1,21,1,11
2023-09-18 10:24:03,16,1,21,1,11
2023-09-18 10:24:05,16,1,21,1,11
2023-09-18 10:24:07,16,1,21,1,11
2023-09-18 10:24:09,16,1,21,1,11
2023-09-18 10:24:11,16,1,21,1,11
2023-09-18 10:24:13,16,1,21,1,11
2023-09-18 10:24:15,16,1,21,1,11
2023-09-18 10:24:17,16,1,21,1,11
2023-09-18 10:24:19,16,1,21,1,11
2023-09-18 10:24:21,16,1,21,1,11
2023-09-18 10:24:23,16,1,21,1,11
2023-09-18 10:24:25,16,1,21,1,11
2023-09-18 10:24:27,16,1,21,1,11
2023-09-18 10:24:29,16,1,21,1,11
2023-09-18 10:24:31,16,1,21,1,11
2023-09-18 10:24:34,16,1,21,1,11
2023-09-18 10:24:36,16,1,21,1,11
2023-09-18 10:24:38,16,1,21,1,11
2023-09-18 10:24:40,16,1,21,1,11
2023-09-18 10:24:43,16,1,21,1,11
2023-09-18 10:24:45,16,1,21,1,11
2023-09-18 10:24:47,16,1,21,1,11
2023-09-18 10:24:49,16,1,21,1,11
2023-09-18 10:24:51,16,1,21,1,11
2023-09-18 10:24:53,16,1,21,1,11
2023-09-18 10:24:55,16,1,21,1,11
2023-09-18 10:24:57,16,1,21,1,11
2023-09-18 10:24:59,16,1,21,1,11
2023-09-18 10:25:01,16,1,21,1,11
2023-09-18 10:25:02,16,1,21,1,11
2023-09-18 10:25:04,16,1,21,1,11
2023-09-18 10:25:06,16,1,21,1,11
2023-09-18 10:25:08,16,1,21,1,11
2023-09-18 10:25:10,16,1,21,1,11
2023-09-18 10:25:12,16,1,21,1,11
2023-09-18 10:25:14,16,1,21,1,11
2023-09-18 10:25:16,16,1,21,1,11
2023-09-18 10:25:18,16,1,21,1,11
2023-09-18 10:25:20,16,1,21,1,11
2023-09-18 10:25:22,16,1,21,1,11
2023-09-18 10:25:24,16,1,21,1,11
2023-09-18 10:25:26,16,1,21,1,11
2023-09-18 10:25:28,16,1,21,1,11
2023-09-18 10:25:29,16,1,21,1,11
2023-09-18 10:25:31,16,1,21,1,11
2023-09-18 10:25:33,16,1,21,1,11
2023-09-18 10:25:35,16,1,21,1,11
2023-09-18 10:25:36,16,1,21,1,11
2023-09-18 10:25:39,16,1,21,1,11
2023-09-18 10:25:41,16,1,21,1,11
2023-09-18 10:25:42,16,1,21,1,11
2023-09-18 10:25:44,16,1,21,1,11
2023-09-18 10:25:46,16,1,21,1,11
2023-09-18 10:25:48,16,1,21,1,11
2023-09-18 10:25:49,16,1,21,1,11
2023-09-18 10:25:51,16,1,21,1,11
2023-09-18 10:25:53,16,1,21,1,11
2023-09-18 10:25:55,16,1,21,1,11
2023-09-18 10:25:57,16,1,21,1,11
2023-09-18 10:25:59,16,1,21,1,11
2023-09-18 10:26:01,16,1,21,1,11
2023-09-18 10:26:03,16,1,21,1,11
2023-09-18 10:26:05,16,1,21,1,11
2023-09-18 10:26:07,16,1,21,1,11
2023-09-18 10:26:09,16,1,21,1,11
2023-09-18 10:26:11,16,1,21,1,11
2023-09-18 10:26:13,16,1,21,1,11
2023-09-18 10:26:15,16,1,21,1,11
2023-09-18 10:26:17,16,1,21,1,11
2023-09-18 10:26:18,16,1,21,1,11
2023-09-18 10:26:20,16,1,21,1,11
2023-09-18 10:26:23,16,1,21,1,11
2023-09-18 10:26:25,16,1,21,1,11
2023-09-18 10:26:27,16,1,21,1,11
2023-09-18 10:26:29,16,1,21,1,11
2023-09-18 10:26:31,16,1,21,1,11
2023-09-18 10:26:33,16,1,21,1,11
2023-09-18 10:26:34,16,1,21,1,11
2023-09-18 10:26:36,16,1,21,1,11
2023-09-18 10:26:38,16,1,21,1,11
2023-09-18 10:26:40,16,1,21,1,11
2023-09-18 10:26:41,16,1,21,1,11
2023-09-18 10:26:43,16,1,21,1,11
2023-09-18 10:26:45,16,1,21,1,11
2023-09-18 10:26:47,16,1,21,1,11
2023-09-18 10:26:49,16,1,21,1,11
2023-09-18 10:26:51,16,1,21,1,11
2023-09-18 10:26:53,16,1,21,1,11
2023-09-18 10:26:55,16,1,21,1,11
2023-09-18 10:26:57,16,1,21,1,11
2023-09-18 10:26:59,16,1,21,1,11
2023-09-18 10:27:00,16,1,21,1,11
2023-09-18 10:27:02,16,1,21,1,11
2023-09-18 10:27:04,16,1,21,1,11
2023-09-18 10:27:06,16,1,21,1,11
2023-09-18 10:27:08,16,1,21,1,11
2023-09-18 10:27:09,16,1,21,1,11
2023-09-18 10:27:11,16,1,21,1,11
2023-09-18 10:27:13,16,1,21,1,11
2023-09-18 10:27:14,16,1,21,1,11
2023-09-18 10:27:16,16,1,21,1,11
2023-09-18 10:27:18,16,1,21,1,11
2023-09-18 10:27:20,16,1,21,1,11
2023-09-18 10:27:22,16,1,21,1,11
2023-09-18 10:27:24,16,1,21,1,11
2023-09-18 10:27:26,16,1,21,1,11
2023-09-18 10:27:28,16,1,21,1,11
2023-09-18 10:27:30,16,1,21,1,11
2023-09-18 10:27:32,16,1,21,1,11
2023-09-18 10:27:34,16,1,21,1,11
2023-09-18 10:27:36,16,1,21,1,11
2023-09-18 10:27:38,16,1,21,1,11
2023-09-18 10:27:39,16,1,21,1,11
2023-09-18 10:27:41,16,1,21,1,11
2023-09-18 10:27:43,16,1,21,1,11
2023-09-18 10:27:45,16,1,21,1,11
2023-09-18 10:27:47,16,1,21,1,11
2023-09-18 10:27:49,16,1,21,1,11
2023-09-18 10:27:51,16,1,21,1,11
2023-09-18 10:27:53,16,1,21,1,11
2023-09-18 10:27:55,16,1,21,1,11
2023-09-18 10:27:57,16,1,21,1,11
2023-09-18 10:27:59,16,1,21,1,11
2023-09-18 10:28:01,16,1,21,1,11
2023-09-18 10:28:03,16,1,21,1,11
2023-09-18 10:28:06,16,1,21,1,11
2023-09-18 10:28:08,16,1,21,1,11
2023-09-18 10:28:10,16,1,21,1,11
2023-09-18 10:28:12,16,1,21,1,11
2023-09-18 10:28:14,16,1,21,1,11
2023-09-18 10:28:16,16,1,21,1,11
2023-09-18 10:28:18,16,1,21,1,11
2023-09-18 10:28:20,16,1,21,1,11
2023-09-18 10:28:22,16,1,21,1,11
2023-09-18 10:28:24,16,1,21,1,11
2023-09-18 10:28:25,16,1,21,1,11
2023-09-18 10:28:27,16,1,21,1,11
2023-09-18 10:28:29,16,1,21,1,11
2023-09-18 10:28:30,16,1,21,1,11
2023-09-18 10:28:32,16,1,21,1,11
2023-09-18 10:28:34,16,1,21,1,11
2023-09-18 10:28:36,16,1,21,1,11
2023-09-18 10:28:38,16,1,21,1,11
2023-09-18 10:28:40,16,1,21,1,11
2023-09-18 10:28:42,16,1,21,1,11
2023-09-18 10:28:44,16,1,21,1,11
2023-09-18 10:28:46,16,1,21,1,11
2023-09-18 10:28:48,16,1,21,1,11
2023-09-18 10:28:49,16,1,21,1,11
2023-09-18 10:28:51,16,1,21,1,11
2023-09-18 10:28:53,16,1,21,1,11
2023-09-18 10:28:55,16,1,21,1,11
2023-09-18 10:28:57,16,1,21,1,11
2023-09-18 10:28:58,16,1,21,1,11
2023-09-18 10:29:00,16,1,21,1,11
2023-09-18 10:29:02,16,1,21,1,11
2023-09-18 10:29:04,16,1,21,1,11
2023-09-18 10:29:06,16,1,21,1,11
2023-09-18 10:29:08,16,1,21,1,11
2023-09-18 10:29:10,16,1,21,1,11
2023-09-18 10:29:12,16,1,21,1,11
2023-09-18 10:29:14,16,1,21,1,11
2023-09-18 10:29:15,16,1,21,1,11
2023-09-18 10:29:17,16,1,21,1,11
2023-09-18 10:29:19,16,1,21,1,11
2023-09-18 10:29:21,16,1,21,1,11
2023-09-18 10:29:23,16,1,21,1,11
2023-09-18 10:29:25,16,1,21,1,11
2023-09-18 10:29:27,16,1,21,1,11
2023-09-18 10:29:29,16,1,21,1,11
2023-09-18 10:29:31,16,1,21,1,11
2023-09-18 10:29:33,16,1,21,1,11
2023-09-18 10:29:36,16,1,21,1,11
2023-09-18 10:29:37,16,1,21,1,11
2023-09-18 10:29:39,16,1,21,1,11
2023-09-18 10:29:40,16,1,21,1,11
2023-09-18 10:29:42,16,1,21,1,11
2023-09-18 10:29:44,16,1,21,1,11
2023-09-18 10:29:47,16,1,21,1,11
2023-09-18 10:29:49,16,1,21,1,11
2023-09-18 10:29:50,16,1,21,1,11
2023-09-18 10:29:53,16,1,21,1,11
2023-09-18 10:29:55,16,1,21,1,11
2023-09-18 10:29:57,16,1,21,1,11
2023-09-18 10:29:59,16,1,21,1,11
2023-09-18 10:30:01,16,1,21,1,11
2023-09-18 10:30:03,16,1,21,1,11
2023-09-18 10:30:05,16,1,21,1,11
2023-09-18 10:30:07,16,1,21,1,11
2023-09-18 10:30:09,16,1,21,1,11
2023-09-18 10:30:11,16,1,21,1,11
2023-09-18 10:30:12,16,1,21,1,11
2023-09-18 10:30:14,16,1,21,1,11
2023-09-18 10:30:16,16,1,21,1,11
2023-09-18 10:30:18,16,1,21,1,11
2023-09-18 10:30:20,16,1,21,1,11
2023-09-18 10:30:22,16,1,21,1,11
2023-09-18 10:30:23,16,1,21,1,11
2023-09-18 10:30:25,16,1,21,1,11
2023-09-18 10:30:27,16,1,21,1,11
2023-09-18 10:30:29,16,1,21,1,11
2023-09-18 10:30:31,16,1,21,1,11
2023-09-18 10:30:33,16,1,21,1,11
2023-09-18 10:30:36,16,1,21,1,11
2023-09-18 10:30:37,16,1,21,1,11
2023-09-18 10:30:39,16,1,21,1,11
2023-09-18 10:30:41,16,1,21,1,11
2023-09-18 10:30:43,16,1,21,1,11
2023-09-18 10:30:45,16,1,21,1,11
2023-09-18 10:30:47,16,1,21,1,11
2023-09-18 10:30:49,16,1,21,1,11
2023-09-18 10:30:51,16,1,21,1,11
2023-09-18 10:30:53,16,1,21,1,11
2023-09-18 10:30:55,16,1,21,1,11
2023-09-18 10:30:56,16,1,21,1,11
2023-09-18 10:30:58,16,1,21,1,11
2023-09-18 10:31:00,16,1,21,1,11
2023-09-18 10:31:02,16,1,21,1,11
2023-09-18 10:31:04,16,1,21,1,11
2023-09-18 10:31:05,16,1,21,1,11
2023-09-18 10:31:07,16,1,21,1,11
2023-09-18 10:31:09,16,1,21,1,11
2023-09-18 10:31:11,16,1,21,1,11
2023-09-18 10:31:13,16,1,21,1,11
2023-09-18 10:31:15,16,1,21,1,11
2023-09-18 10:31:17,16,1,21,1,11
2023-09-18 10:31:19,16,1,21,1,11
2023-09-18 10:31:20,16,1,21,1,11
2023-09-18 10:31:22,16,1,21,1,11
2023-09-18 10:31:25,16,1,21,1,11
2023-09-18 10:31:27,16,1,21,1,11
2023-09-18 10:31:29,16,1,21,1,11
2023-09-18 10:31:31,16,1,21,1,11
2023-09-18 10:31:33,16,1,21,1,11
2023-09-18 10:31:35,16,1,21,1,11
2023-09-18 10:31:36,16,1,21,1,11
2023-09-18 10:31:39,16,1,21,1,11
2023-09-18 10:31:41,16,1,21,1,11
2023-09-18 10:31:43,16,1,21,1,11
2023-09-18 10:31:45,16,1,21,1,11
2023-09-18 10:31:47,16,1,21,1,11
2023-09-18 10:31:49,16,1,21,1,11
2023-09-18 10:31:51,16,1,21,1,11
2023-09-18 10:31:52,16,1,21,1,11
2023-09-18 10:31:54,16,1,21,1,11
2023-09-18 10:31:56,16,1,21,1,11
2023-09-18 10:31:58,16,1,21,1,11
2023-09-18 10:31:59,16,1,21,1,11
2023-09-18 10:32:01,16,1,21,1,11
2023-09-18 10:32:03,16,1,21,1,11
2023-09-18 10:32:05,16,1,21,1,11
2023-09-18 10:32:07,16,1,21,1,11
2023-09-18 10:32:08,16,1,21,1,11
2023-09-18 10:32:10,16,1,21,1,11
2023-09-18 10:32:12,16,1,21,1,11
2023-09-18 10:32:14,16,1,21,1,11
2023-09-18 10:32:16,16,1,21,1,11
2023-09-18 10:32:18,16,1,21,1,11
2023-09-18 10:32:20,16,1,21,1,11
2023-09-18 10:32:22,16,1,21,1,11
2023-09-18 10:32:24,16,1,21,1,11
2023-09-18 10:32:26,16,1,21,1,11
2023-09-18 10:32:27,16,1,21,1,11
2023-09-18 10:32:29,16,1,21,1,11
2023-09-18 10:32:31,16,1,21,1,11
2023-09-18 10:32:33,16,1,21,1,11
2023-09-18 10:32:35,16,1,21,1,11
2023-09-18 10:32:37,16,1,21,1,11
2023-09-18 10:32:39,16,1,21,1,11
2023-09-18 10:32:41,16,1,21,1,11
2023-09-18 10:32:43,16,1,21,1,11
2023-09-18 10:32:45,16,1,21,1,11
2023-09-18 10:32:47,16,1,21,1,11
2023-09-18 10:32:49,16,1,21,1,11
2023-09-18 10:32:51,16,1,21,1,11
2023-09-18 10:32:53,16,1,21,1,11
2023-09-18 10:32:55,16,1,21,1,11
2023-09-18 10:32:57,16,1,21,1,11
2023-09-18 10:32:59,16,1,21,1,11
2023-09-18 10:33:01,16,1,21,1,11
2023-09-18 10:33:03,16,1,21,1,11
2023-09-18 10:33:05,16,1,21,1,11
2023-09-18 10:33:07,16,1,21,1,11
2023-09-18 10:33:09,16,1,21,1,11
2023-09-18 10:33:11,16,1,21,1,11
2023-09-18 10:33:13,16,1,21,1,11
2023-09-18 10:33:15,16,1,21,1,11
2023-09-18 10:33:17,16,1,21,1,11
2023-09-18 10:33:19,16,1,21,1,11
2023-09-18 10:33:21,16,1,21,1,11
2023-09-18 10:33:23,16,1,21,1,11
2023-09-18 10:33:25,16,1,21,1,11
2023-09-18 10:33:27,16,1,21,1,11
2023-09-18 10:33:29,16,1,21,1,11
2023-09-18 10:33:31,16,1,21,1,11
2023-09-18 10:33:33,16,1,21,1,11
2023-09-18 10:33:35,16,1,21,1,11
2023-09-18 10:33:37,16,1,21,1,11
2023-09-18 10:33:39,16,1,21,1,11
2023-09-18 10:33:41,16,1,21,1,11
2023-09-18 10:33:43,16,1,21,1,11
2023-09-18 10:33:45,16,1,21,1,11
2023-09-18 10:33:46,16,1,21,1,11
2023-09-18 10:33:48,16,1,21,1,11
2023-09-18 10:33:50,16,1,21,1,11
2023-09-18 10:33:53,16,1,21,1,11
2023-09-18 10:33:55,16,1,21,1,11
